timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T16:07:37.373006,54,172,52,48,50,57,0
2026-08-18T16:07:37.374007,54,131,53,49,50,55,0
2026-08-18T16:07:37.378006,54,105,53,50,50,55,0
2026-08-18T16:07:37.378006,54,88,52,49,50,55,0
2026-08-18T16:07:37.378006,54,75,53,49,50,54,0
2026-08-18T16:07:37.382118,54,68,53,50,49,55,0
2026-08-18T16:07:37.382118,53,63,52,50,50,54,0
2026-08-18T16:07:37.383008,53,60,52,49,50,55,0
2026-08-18T16:07:37.386117,54,58,52,49,49,56,0
2026-08-18T16:07:37.386117,54,57,53,49,50,56,0
2026-08-18T16:07:37.386117,54,56,52,49,50,55,0
2026-08-18T16:07:37.390116,54,57,53,49,50,54,0
2026-08-18T16:07:37.390116,54,58,53,49,49,54,0
2026-08-18T16:07:37.391117,55,58,52,50,49,55,0
2026-08-18T16:07:37.394131,53,58,52,49,50,55,0
2026-08-18T16:07:37.394131,53,57,53,49,50,54,0
2026-08-18T16:07:37.394131,54,57,53,49,49,54,0
2026-08-18T16:07:37.398119,53,56,52,49,49,55,0
2026-08-18T16:07:37.398119,54,53,53,48,50,54,0
2026-08-18T16:07:37.399117,53,53,52,49,50,55,0
2026-08-18T16:07:37.402118,54,51,53,49,49,54,0
2026-08-18T16:07:37.403121,53,50,52,49,50,56,0
2026-08-18T16:07:37.403121,53,50,52,48,49,54,0
2026-08-18T16:07:37.406576,53,52,51,48,49,54,0
2026-08-18T16:07:37.406576,53,53,51,49,48,54,0
2026-08-18T16:07:37.407586,52,53,51,48,48,54,0
2026-08-18T16:07:37.410587,53,54,51,48,48,54,0
2026-08-18T16:07:37.410587,52,55,52,48,48,52,0
2026-08-18T16:07:37.410587,53,56,50,47,48,52,0
2026-08-18T16:07:37.414584,52,55,51,47,48,51,0
2026-08-18T16:07:37.414584,51,55,50,47,48,51,0
2026-08-18T16:07:37.415587,52,54,49,47,48,52,0
2026-08-18T16:07:37.418584,52,52,49,47,48,51,0
2026-08-18T16:07:37.418584,52,51,48,47,48,50,0
2026-08-18T16:07:37.419585,52,50,49,47,47,51,0
2026-08-18T16:07:37.422586,51,49,49,46,47,50,0
2026-08-18T16:07:37.423585,51,47,48,46,48,50,0
2026-08-18T16:07:37.423585,51,48,48,47,48,50,0
2026-08-18T16:07:37.426643,51,49,49,46,47,50,0
2026-08-18T16:07:37.426643,50,50,49,45,48,50,0
2026-08-18T16:07:37.427643,51,52,48,46,48,50,0
2026-08-18T16:07:37.430642,51,53,47,46,46,49,0
2026-08-18T16:07:37.430642,50,54,47,45,46,48,0
2026-08-18T16:07:37.431639,50,54,49,45,46,50,0
2026-08-18T16:07:37.434642,50,54,48,45,47,48,0
2026-08-18T16:07:37.435639,50,52,49,46,46,49,0
2026-08-18T16:07:37.435639,51,52,47,44,45,50,0
2026-08-18T16:07:37.438754,51,50,48,45,45,49,0
2026-08-18T16:07:37.438754,50,48,48,44,46,49,0
2026-08-18T16:07:37.439831,50,47,47,45,46,50,0
2026-08-18T16:07:37.442888,51,47,48,45,46,49,0
2026-08-18T16:07:37.443887,50,47,48,44,46,50,0
2026-08-18T16:07:37.443887,51,48,47,44,46,48,0
2026-08-18T16:07:37.446885,50,48,46,45,45,49,0
2026-08-18T16:07:37.447871,50,50,47,45,45,50,0
2026-08-18T16:07:37.447871,50,50,46,43,45,50,0
2026-08-18T16:07:37.450885,50,52,47,44,46,48,0
2026-08-18T16:07:37.451870,50,52,47,44,46,49,0
2026-08-18T16:07:37.452886,51,53,47,45,46,49,0
2026-08-18T16:07:37.455482,50,52,47,43,46,48,0
2026-08-18T16:07:37.456543,50,52,46,45,45,49,0
2026-08-18T16:07:37.456543,50,50,47,43,45,48,0
2026-08-18T16:07:37.459542,50,49,47,44,44,48,0
2026-08-18T16:07:37.460542,50,47,46,45,45,48,0
2026-08-18T16:07:37.460542,50,46,47,43,46,48,0
2026-08-18T16:07:37.463541,50,46,46,44,45,48,0
